Elements 1129 
"Element id","Element type","Element area","Element volume","Nodes","Centroid"
1,"kTet4",-1.0,4.7068014599e-09,4,305,392,380,-0.00881080451437,0.00614944637914,0.00181281686299
2,"kTet4",-1.0,4.01827320293e-09,4,392,143,380,-0.00788747463641,0.00617561921137,0.000952773733924
3,"kTet4",-1.0,5.35227392359e-09,305,366,392,380,-0.00809420377346,0.00640934770327,0.00319789057787
4,"kTet4",-1.0,1.21239548341e-08,357,363,392,366,-0.00607205369414,0.00502017023552,0.00359310970523
5,"kTet4",-1.0,2.24058774998e-09,4,143,392,5,-0.00848503240326,0.00516259299678,0.000454994702488
6,"kTet4",-1.0,2.71378109296e-09,4,392,305,5,-0.00940836228122,0.00513642016455,0.00131503783155
7,"kTet4",-1.0,5.78835252702e-09,143,392,149,363,-0.0054461598605,0.00510947965755,0.00113179655667
8,"kTet4",-1.0,1.06394791987e-08,149,392,357,363,-0.00538000869006,0.00405418174503,0.00220803599036
9,"kTet4",-1.0,6.82911846533e-09,305,357,392,366,-0.00770228049191,0.00485369067255,0.00377635098011
10,"kTet4",-1.0,4.56497577128e-09,5,305,315,392,-0.00940836228122,0.00416461341478,0.00196784072525
11,"kTet4",-1.0,4.96041038403e-09,143,392,159,149,-0.00666194125778,0.0036168338912,0.000454994702488
12,"kTet4",-1.0,4.79390528007e-09,5,159,143,392,-0.00807058700277,0.00382292105756,0.000454994702488
13,"kTet4",-1.0,7.42842872629e-09,159,392,315,357,-0.00800443583233,0.00229581639526,0.00218403702987
14,"kTet4",-1.0,1.92208870925e-09,39,195,391,40,-0.00870489560048,0.00962029374184,0.0239547699194
15,"kTet4",-1.0,1.40125453323e-09,39,391,303,40,-0.00965402831882,0.00886088122551,0.0239186728701
16,"kTet4",-1.0,3.93519558393e-09,167,391,334,319,-0.00776321479369,0.00698191086883,0.0273604680305
17,"kTet4",-1.0,4.75396717674e-09,167,391,213,334,-0.00707127143134,0.00774574029466,0.0272815909581
18,"kTet4",-1.0,5.25986497751e-09,40,303,341,391,-0.00892221695142,0.00811040843067,0.023463087098
19,"kTet4",-1.0,6.9566314094e-09,40,341,195,391,-0.00797308423307,0.008869820947,0.0234991841473
20,"kTet4",-1.0,3.67339340133e-09,167,347,391,319,-0.00839034968931,0.00752878266085,0.0280178761121
21,"kTet4",-1.0,3.45962146538e-09,167,213,391,347,-0.00769840632696,0.00829261208668,0.0279389990398
22,"kTet4",-1.0,3.93269015664e-09,303,391,334,341,-0.00795473330424,0.0072231878871,0.0244653302649
23,"kTet4",-1.0,5.5415744418e-09,195,334,391,341,-0.0070056005859,0.00798260040342,0.0245014273142
24,"kTet4",-1.0,1.9108570981e-09,37,213,347,391,-0.00862173620492,0.00927994499028,0.0274389990398
